net_gain,phase,amplitude_lc,frequency_lc
4.167088607594937,6.124117324719344,4.3519213704509116e-14,0.0
4.167088607594937,6.2036513159494655,4.7051465556119265e-14,0.0
4.167088607594937,6.283185307179586,9.241554826908851e-14,0.0
4.222784810126583,0.0,6.675235832382576e-14,0.0
4.222784810126583,0.07953399123012135,9.996831232264517e-14,0.0
4.222784810126583,0.1590679824602427,2.4692631138478467e-13,0.0
4.222784810126583,0.23860197369036407,6.13937793892716e-14,0.0
4.222784810126583,0.3181359649204854,1.6066660003489238e-13,0.0
4.222784810126583,0.39766995615060674,3.5408330230058007e-14,0.0
4.222784810126583,0.47720394738072813,5.321917386670763e-13,0.0
4.222784810126583,0.5567379386108494,5.988365758988869e-14,0.0
4.222784810126583,0.6362719298409708,1.7233640784337855e-14,0.0
4.222784810126583,0.7158059210710922,3.098662866041935e-13,0.0
4.222784810126583,0.7953399123012135,1.3434871985828942e-12,0.0
4.222784810126583,0.8748739035313349,1.6220794357517837e-13,0.0
4.222784810126583,0.9544078947614563,8.047339891174053e-13,0.0
4.222784810126583,1.0339418859915777,6.761832158467166e-13,0.0
4.222784810126583,1.1134758772216988,1.547158825764852e-13,0.0
4.222784810126583,1.1930098684518202,1.6834877194209251e-13,0.0
4.222784810126583,1.2725438596819416,1.0971967791463335e-12,0.0
4.222784810126583,1.352077850912063,1.269662873568792e-13,0.0
4.222784810126583,1.4316118421421844,3.589657990878007e-14,0.0
4.222784810126583,1.5111458333723056,2.299818450485413e-12,0.0
4.222784810126583,1.590679824602427,3.0994574960367454e-13,0.0
4.222784810126583,1.6702138158325484,2.254080177974772e-14,0.0
4.222784810126583,1.7497478070626697,4.0075403862411525e-14,0.0
4.222784810126583,1.8292817982927911,1.4611019609734394e-12,0.0
4.222784810126583,1.9088157895229125,3.536142890815299e-14,0.0
4.222784810126583,1.9883497807530337,1.1723721020738734e-13,0.0
4.222784810126583,2.0678837719831553,1.4482955485654577e-14,0.0
4.222784810126583,2.1474177632132765,3.011617333696655e-14,0.0
4.222784810126583,2.2269517544433977,1.6670623471554823e-12,0.0
4.222784810126583,2.3064857456735193,3.66068442550105e-14,0.0
4.222784810126583,2.3860197369036404,3.257014905767619e-15,0.0
4.222784810126583,2.465553728133762,3.263149134232736e-14,0.0
4.222784810126583,2.5450877193638832,2.434919079649254e-14,0.0
4.222784810126583,2.6246217105940044,6.415223444658187e-15,0.0
4.222784810126583,2.704155701824126,3.780123881923125e-15,0.0
4.222784810126583,2.783689693054247,5.090032785557231e-14,0.0
4.222784810126583,2.863223684284369,8.363441719025562e-13,0.0
4.222784810126583,2.94275767551449,4.893892629108754e-14,0.0
4.222784810126583,3.022291666744611,2.0311942594999033e-14,0.0
4.222784810126583,3.1018256579747328,5.900027062482234e-14,0.0
4.222784810126583,3.181359649204854,1.32862571321298e-13,0.0
4.222784810126583,3.2608936404349755,9.141938390196874e-15,0.0
4.222784810126583,3.3404276316650967,5.3343626644924575e-14,0.0
4.222784810126583,3.419961622895218,1.0904113740068286e-13,0.0
4.222784810126583,3.4994956141253395,2.5636264501400033e-13,0.0
4.222784810126583,3.5790296053554607,1.626532694693164e-14,0.0
4.222784810126583,3.6585635965855823,2.912814881397452e-14,0.0
4.222784810126583,3.7380975878157034,7.258009476292048e-14,0.0
4.222784810126583,3.817631579045825,1.438748959303448e-14,0.0
4.222784810126583,3.8971655702759462,1.3251902578075073e-13,0.0
4.222784810126583,3.9766995615060674,7.070758854562139e-14,0.0
4.222784810126583,4.056233552736189,4.06608446132487e-15,0.0
4.222784810126583,4.135767543966311,1.6328683736717407e-13,0.0
4.222784810126583,4.215301535196431,2.0892907042859227e-13,0.0
4.222784810126583,4.294835526426553,2.572185232471221e-14,0.0
4.222784810126583,4.374369517656675,4.9473235908362826e-14,0.0
4.222784810126583,4.453903508886795,1.1338669612084459e-13,0.0
4.222784810126583,4.533437500116917,1.278075584713698e-14,0.0
4.222784810126583,4.6129714913470385,4.787178456514257e-13,0.0
4.222784810126583,4.692505482577159,4.1733052721019595e-14,0.0
4.222784810126583,4.772039473807281,6.987111104141313e-14,0.0
4.222784810126583,4.8515734650374025,1.3035508100208335e-14,0.0
4.222784810126583,4.931107456267524,1.901223793668358e-14,0.0
4.222784810126583,5.010641447497645,2.0744108729312305e-14,0.0
4.222784810126583,5.0901754387277665,1.26296762674054e-13,0.0
4.222784810126583,5.169709429957888,6.088491709186655e-15,0.0
4.222784810126583,5.249243421188009,9.252918742303977e-15,0.0
4.222784810126583,5.32877741241813,8.902256057357395e-14,0.0
4.222784810126583,5.408311403648252,1.0360792825081847e-14,0.0
4.222784810126583,5.487845394878374,1.850854099693109e-15,0.0
4.222784810126583,5.567379386108494,8.473697296668289e-13,0.0
4.222784810126583,5.646913377338616,4.3724747102795555e-15,0.0
4.222784810126583,5.726447368568738,3.739055421682031e-13,0.0
4.222784810126583,5.805981359798858,5.417758103361205e-13,0.0
4.222784810126583,5.88551535102898,1.2017730463170885e-14,0.0
4.222784810126583,5.9650493422591016,2.8486197129759116e-13,0.0
4.222784810126583,6.044583333489222,8.077024237122972e-13,0.0
4.222784810126583,6.124117324719344,1.6544825971376255e-14,0.0
4.222784810126583,6.2036513159494655,1.8821581450974817e-13,0.0
4.222784810126583,6.283185307179586,8.815322230127972e-15,0.0
4.2784810126582276,0.0,3.5995759166934444e-13,0.0
4.2784810126582276,0.07953399123012135,4.322955313379015e-13,0.0
4.2784810126582276,0.1590679824602427,1.4129802922968013e-14,0.0
4.2784810126582276,0.23860197369036407,1.5148816074729828e-13,0.0
4.2784810126582276,0.3181359649204854,3.917625764864871e-14,0.0
4.2784810126582276,0.39766995615060674,4.966075917371532e-13,0.0
4.2784810126582276,0.47720394738072813,8.671730302979892e-13,0.0
4.2784810126582276,0.5567379386108494,5.905316189982324e-14,0.0
4.2784810126582276,0.6362719298409708,3.404688501059906e-13,0.0
4.2784810126582276,0.7158059210710922,2.5226393251566235e-13,0.0
4.2784810126582276,0.7953399123012135,2.1887316929749208e-13,0.0
4.2784810126582276,0.8748739035313349,9.277207040758561e-14,0.0
4.2784810126582276,0.9544078947614563,6.992808191086772e-13,0.0
4.2784810126582276,1.0339418859915777,1.611523078886809e-13,0.0
4.2784810126582276,1.1134758772216988,2.702058832414102e-13,0.0
4.2784810126582276,1.1930098684518202,4.0612751165030046e-13,0.0
4.2784810126582276,1.2725438596819416,7.784501955113679e-14,0.0
4.2784810126582276,1.352077850912063,4.522902529047379e-14,0.0
4.2784810126582276,1.4316118421421844,5.092371485692672e-13,0.0
4.2784810126582276,1.5111458333723056,1.674935149731703e-13,0.0
4.2784810126582276,1.590679824602427,4.391074242437829e-14,0.0
4.2784810126582276,1.6702138158325484,1.4238558753435202e-14,0.0
